Datetime,Datetime,RemainingSimulationTimeMetric,WillFinishTooSoonContext,ETPercentile,SimulationLeftNumber,MinimumCoresContext,SimulationElapsedTime,NotFinishedOnTime,MinimumCores,TotalCores,NotFinishedOnTimeContext,NotFinished,EstimatedRemainingTimeContext
1613649557,1613649557,7176,,42,900,,24,,,7,,,
1613649587,1613649587,7146,,42,899,,54,,,7,,,
1613649599,1613649599,,,,,,,,,,,,1179.9375
1613649617,1613649617,7116,,42,897,,84,,,7,,,
1613649620,1613649620,,,,,11,,,11,,,,
1613649629,1613649629,,,,,,,,,,,,1177.3125
1613649639,1613649639,,-1632.8625,,,,,,,,-2336.0625,,
1613649647,1613649647,7086,,42,894,,114,,,7,,,
1613649650,1613649650,,,,,11,,,11,,,,
1613649659,1613649659,,,,,,,,,,,,1173.375
1613649669,1613649669,,-1611.4875,,,,,,,,-2308.6875,,
1613649677,1613649677,7056,,44,892,,144,,,7,,,
1613649680,1613649680,,,,,12,,,12,,,,
1613649689,1613649689,,,,,,,,,,,,1226.5
1613649699,1613649699,,-1591.425,,,,,,,,-2282.625,,
1613649707,1613649707,7026,,69,888,,174,,,7,,,
1613649710,1613649710,,,,,18,,,18,,,,
1613649719,1613649719,,,,,,,,,,,,1914.75
1613649729,1613649729,,-1514.3,,,,,,,,-2199.5,,
1613649737,1613649737,6996,,73,887,,204,,,7,,,
1613649740,1613649740,,,,,20,,,20,,,,
1613649749,1613649749,,,,,,,,,,,,2023.46875
1613649759,1613649759,,-802.05,,,,,,,,-1481.25,,
1613649767,1613649767,6966,,79,885,,234,,,7,,,
1613649770,1613649770,,,,,22,,,22,,,,
1613649779,1613649779,,,,,,,,,,,,2184.84375
1613649789,1613649789,,-669.33125,,,,,,,,-1342.53125,,
1613649797,1613649797,6936,,80,881,,264,,,7,,,
1613649800,1613649800,,,,,21,,,21,,,,
1613649809,1613649809,,,,,,,,,,,,2202.5
1613649819,1613649819,,-483.9562500000002,,,,,,,,-1151.15625,,
1613649827,1613649827,6906,,80,879,,294,,,7,,,
1613649830,1613649830,,,,,22,,,22,,,,
1613649839,1613649839,,,,,,,,,,,,2197.5
1613649849,1613649849,,-442.3000000000002,,,,,,,,-1103.5,,
1613649857,1613649857,6876,,79,878,,324,,,7,,,
1613649860,1613649860,,,,,22,,,22,,,,
1613649869,1613649869,,,,,,,,,,,,2167.5625
1613649879,1613649879,,-423.3000000000002,,,,,,,,-1078.5,,
1613649887,1613649887,6846,,80,873,,354,,,7,,,
1613649890,1613649890,,,,,22,,,22,,,,
1613649899,1613649899,,,,,,,,,,,,2182.5
1613649909,1613649909,,-429.2375000000002,,,,,,,,-1078.4375,,
1613649917,1613649917,6816,,79,870,,384,,,7,,,
1613649920,1613649920,,,,,22,,,22,,,,
1613649929,1613649929,,,,,,,,,,,,2147.8125
1613649939,1613649939,,-390.3000000000002,,,,,,,,-1033.5,,
1613649947,1613649947,6786,,78,867,,414,,,7,,,
1613649950,1613649950,,,,,22,,,22,,,,
1613649959,1613649959,,,,,,,,,,,,2113.3125
1613649969,1613649969,,-400.9875000000002,,,,,,,,-1038.1875,,
1613649977,1613649977,6756,,78,866,,444,,,7,,,
1613649980,1613649980,,,,,22,,,22,,,,
1613649989,1613649989,,,,,,,,,,,,2110.875
1613649999,1613649999,,-411.4875000000002,,,,,,,,-1042.6875,,
1613650007,1613650007,6726,,78,863,,474,,,7,,,
1613650010,1613650010,,,,,22,,,22,,,,
1613650019,1613650019,,,,,,,,,,,,2103.5625
1613650029,1613650029,,-389.9250000000002,,,,,,,,-1015.125,,
1613650037,1613650037,6696,,78,859,,504,,,7,,,
1613650040,1613650040,,,,,22,,,22,,,,
1613650049,1613650049,,,,,,,,,,,,2093.8125
1613650059,1613650059,,-373.2375000000002,,,,,,,,-992.4375,,
1613650067,1613650067,6666,,78,859,,534,,,7,,,
1613650070,1613650070,,,,,23,,,23,,,,
1613650079,1613650079,,,,,,,,,,,,2093.8125
1613650089,1613650089,,-358.9875000000002,,,,,,,,-972.1875,,
1613650097,1613650097,6636,,79,856,,564,,,7,,,
1613650100,1613650100,,,,,23,,,23,,,,
